Cohort,True PAM50,IHQ Surrogate,N,Rate
GSE81538,Basal,Basal,52,92.9%
GSE81538,Basal,Her2,2,3.6%
GSE81538,Basal,LumB,2,3.6%
GSE81538,Her2,Basal,3,4.6%
GSE81538,Her2,Her2,15,23.1%
GSE81538,Her2,LumA,2,3.1%
GSE81538,Her2,LumB,45,69.2%
GSE81538,LumA,Basal,1,0.6%
GSE81538,LumA,LumA,112,72.3%
GSE81538,LumA,LumB,42,27.1%
GSE81538,LumB,LumA,17,16.2%
GSE81538,LumB,LumB,88,83.8%
GSE96058,Basal,Basal,104,49.8%
GSE96058,Basal,Her2,7,3.3%
GSE96058,Basal,LumA,17,8.1%
GSE96058,Basal,LumB,81,38.8%
GSE96058,Her2,Basal,16,6.6%
GSE96058,Her2,Her2,38,15.6%
GSE96058,Her2,LumA,17,7.0%
GSE96058,Her2,LumB,172,70.8%
GSE96058,LumA,Basal,2,0.1%
GSE96058,LumA,Her2,4,0.3%
GSE96058,LumA,LumA,1094,74.5%
GSE96058,LumA,LumB,369,25.1%
GSE96058,LumB,LumA,196,29.0%
GSE96058,LumB,LumB,480,71.0%
TCGA-BRCA,Basal,Basal,60,89.6%
TCGA-BRCA,Basal,Her2,4,6.0%
TCGA-BRCA,Basal,LumB,3,4.5%
TCGA-BRCA,Her2,Basal,3,7.1%
TCGA-BRCA,Her2,Her2,18,42.9%
TCGA-BRCA,Her2,LumB,21,50.0%
TCGA-BRCA,LumA,Basal,1,3.6%
TCGA-BRCA,LumA,Her2,1,3.6%
TCGA-BRCA,LumA,LumB,26,92.9%
TCGA-BRCA,LumB,Basal,1,4.0%
TCGA-BRCA,LumB,LumB,24,96.0%
METABRIC,Basal,Basal,157,75.1%
METABRIC,Basal,Her2,18,8.6%
METABRIC,Basal,LumA,8,3.8%
METABRIC,Basal,LumB,26,12.4%
METABRIC,Her2,Basal,30,13.7%
METABRIC,Her2,Her2,94,42.9%
METABRIC,Her2,LumA,23,10.5%
METABRIC,Her2,LumB,72,32.9%
METABRIC,LumA,Basal,3,0.4%
METABRIC,LumA,Her2,1,0.1%
METABRIC,LumA,LumA,485,72.5%
METABRIC,LumA,LumB,180,26.9%
METABRIC,LumB,LumA,194,42.5%
METABRIC,LumB,LumB,263,57.5%
