Feature Set,Model,Cohort,N,Macro F1,F1 95% CI,Kappa,Kappa 95% CI,Balanced Acc,BA 95% CI
Set 1,Logistic Regression,TCGA-BRCA,435,0.491,(0.453-0.525),0.409,(0.349-0.464),0.607,(0.566-0.642)
Set 1,Random Forest,TCGA-BRCA,435,0.491,(0.453-0.525),0.409,(0.349-0.464),0.607,(0.566-0.642)
Set 1,XGBoost,TCGA-BRCA,435,0.514,(0.477-0.547),0.404,(0.341-0.467),0.601,(0.557-0.639)
Set 1,IHQ Surrogate (H2H),TCGA-BRCA,162,0.485,(0.431-0.541),0.489,(0.407-0.576),0.571,(0.523-0.617)
Set 1,Logistic Regression (H2H),TCGA-BRCA,162,0.368,(0.336-0.396),0.428,(0.350-0.509),0.457,(0.429-0.480)
Set 1,Logistic Regression,METABRIC,1608,0.433,(0.413-0.453),0.318,(0.291-0.346),0.541,(0.519-0.562)
Set 1,Random Forest,METABRIC,1608,0.433,(0.413-0.453),0.318,(0.291-0.346),0.541,(0.519-0.562)
Set 1,XGBoost,METABRIC,1608,0.522,(0.501-0.542),0.376,(0.347-0.406),0.576,(0.555-0.598)
Set 1,IHQ Surrogate (H2H),METABRIC,1554,0.646,(0.623-0.672),0.471,(0.436-0.506),0.621,(0.596-0.646)
Set 1,XGBoost (H2H),METABRIC,1554,0.523,(0.503-0.544),0.383,(0.351-0.414),0.579,(0.557-0.601)
Set 2,Logistic Regression,METABRIC,1544,0.519,(0.495-0.544),0.362,(0.332-0.392),0.574,(0.550-0.598)
Set 2,Random Forest,METABRIC,1544,0.559,(0.533-0.583),0.388,(0.354-0.422),0.592,(0.565-0.617)
Set 2,XGBoost,METABRIC,1544,0.559,(0.533-0.584),0.402,(0.369-0.435),0.585,(0.561-0.611)
Set 2,IHQ Surrogate (H2H),METABRIC,1544,0.644,(0.616-0.669),0.467,(0.432-0.504),0.618,(0.592-0.644)
Set 2,XGBoost (H2H),METABRIC,1544,0.559,(0.533-0.584),0.402,(0.369-0.435),0.585,(0.561-0.611)
